country,city,product_name,product_category,campaign_channel,budget_spent,impressions,clicks,conversion_rate,units_sold,campaign_date
France,Paris,HYDRA CrEAM,beauty,email,budget non communique,341923,12199,,308,Jan 16 2023
Fr@nce,   TORONTO,hydracream!!,??,google ads$,,421836,3917106,8.5%,602,
   Espa√±a,Paris,HYDRaCREAM,electronics,fb,15839.78 €,68629,,"0,2712",0,09/02/24
canada   ,S√£o Paulo%,HydraCr3am,,facebook,$6316.08,,2644901,,394,01-11-2023xx
FRANC   E,###,GLow SeRUM,electronics,EMaIl,,341051,12166,,899657,8/4/2099
Japan$,Sao Paulo,HydraCr3am$,??,TiktOk,24 832.99,-1040,1751,"0,1469",-2,35/12/2099
__Italy,SAOPAULO,Pure_   Clean_Toner,,tiktok,$10086.38,63859,19669,??,139584,03/02/23
Japan,SAOPAU   LO,HydraCream@,,FB!!,16721.24,461583,4869205,,302530,
Fr@NcE,To   kyo ,PureClean Toner#,furniture,??,5704.48,316809,??,??,869621,Aug 14 2025
BRAZIL_,berlin   ,PURECLEAN_TONER,skincare,tiktok#,$4874.03,370362,13633,"0,2194",beaucoup,20-05-2025xx
Jappan,S√£o_Paulo,HydraCream   ,electronics,inStagram,,,1757155,,-16,2/12/2099
FR@Nce,  Pari   s,P.   C. Toner,SKINCARE,instagram,,149070,4225424,"0,3441",beaucoup,May 24 2025
Espana$,,GLOW_SERUM,,GoogleAds!!,205.31,-1982,8525,0.3299,655301,2025-02-11
Deutschland,   Paris,purECLean tOner,SKINCARE,tiktok,,N/A,7152,??,0,2025-07-12
ge   rmany,Be   rlin,Gl0wS   erum,skincare,facebook,6 638.84,,??,5.5%,beaucoup,07/02/23
France,  Paris,GlowSerum!!,skincare,tik tok,$11070.74,,2900313,30.4%,262191,2024-08-18
Germany,BERLIN!!,Gl0WSEruM,Skincare,insta   ,19197.66,N/A,14687,0.1257,414559,25/14/2099
Germany,Berlin,Pure_Clean_Toner,furniture,INSTAGRAM,4832.02 €,N/A,2861817,"0,2854",0,
BRAZIL ,madrid,Pure_Clean_Toner,SKINCARE,Instagr   am,11209.61,N/A,??,??,beaucoup,13-07-2023xx
Germny,tokyo,Glow_Serum,electronics,gOOgleADS,,195505,,??,-43,Jul 10 2025
Espana,ToroNto,P   .C. Toner,skincare,TikTok?,,-1176,14738,??,7,14-07-2024xx
N/A,New_York%,GLOW SERUM%,skincare,e-maIL,,-4533,1622104,"0,0936",-14,45/2/2099
N/A,maDrId,HydraCream,electronics,instAGram,21 095.64,99850,??,,beaucoup,12/06/25
brazil,berlin,GlOw SeRUm,skincare,email,13 883.34,41714,,0.1045,-34,27/10/2099
Japan%,NEW    YORK,glOW_SEruM,,   FB,budget non communique,406388,3189,"0,3002",beaucoup,23-07-2024xx
__Italy,MAD   RID ,GlowSerum,SKINCARE,Billboard@,24 638.49,277316,,"0,1017",0,2023-06-25
Fra   nce,,HYDRA_CREAM,electronics,biLLBoArD,$10781.49,-3263,1560761,10.9%,beaucoup,6/2/2099
Deutschland#,sao_paulo,gLOWseRUM!!,beauty,goog   le ads,,,3170420,14.7%,959680,
ITALY,bErLiN,PureClean Toner,SKINCARE,instagram,budget non communique,N/A,,"0,1339",beaucoup,20-07-2024xx
,B3r   lin,PureCleanToner,,INSTAGRAM,$9559.05,180560,??,"0,0063",580001,03-07-2024xx
Brasil,Roma,Hy   draCream,beauty,facebook,budget non communique,,2054048,??,0,2023-11-24
brAZiL,   T0kyo,PUre_cLEAN_TOnEr,SKINCARE,tik    tok,budget non communique,54107,,0.1062,-39,25/14/2099
Japan,N3w_Y0rk,GLOW SE   RUM,electronics,E-mail,14 342.82,-607,,0.1833,97,23/03/25
J   APAN,NEW_YORK,PureCleanToner?,,insta,16288.8,,1561877,,beaucoup,25-08-2023xx
U.S.A   ,,hyd   racream,Beauty ,FB   ,$5758.55,-3050,,"0,1589",697,18-02-2025xx
N/A,São Pa   ulo,Hydra_Cream,electronics,TikTok,$2724.53,346911,??,,0,
UNiTEd sTATes,Sao Paulo,Hydra_Cream,skincare,,9317.2,-742,??,,756,Nov 18 2023
__Italy,TOKYO,PUreclEAn ToneR,,FB!!,21887.53,-2665,2623877,0.1103,beaucoup,
Jappan?,,hYdRA_CrEaM,beauty,ti   ktok,,N/A,16870,0.2938,0,15-10-2024xx
Germny   ,New_York,Gl0wSeRum,Skincare,FB,,,11765,20.3%,0,16-04-2025xx
U.S.A,Rome?,gl   owserum,electronics,tiktok@,8 196.45,46748,1369054,??,925332,17-01-2023xx
United States,toronto,Hydra_Cream   ,Beauty ,billboard@,budget non communique,34439,1347137,19.4%,0,Apr 16 2025
UnITeD stATes,,HYDRA_CREAM,,GoogleAds,21104.91,364654,5691,,510,17/10/2099
Fr   @nce,Berlin,hYdRA CREaM,??,tik tok,17600.89,,9485,0.2606,-38,27-06-2025xx
Japp   an,###,GLOW SERUM@,electronics,insta@,10001.8,,10575,,beaucoup,06-10-2023xx
Brazil@,  Paris,GlowSerum,beauty,Tik   Tok,$12814.12,44353,1479780,"0,1481",748,
Espana#,Madrid,Glow_Serum%,skincare,GoogleAds$,$8015.27,-4742,??,23.4%,-50,
Brasil,T0kyo,GlOw SERUM,Skincare,??,budget non communique,-3474,2804,,0,06-01-2025xx
Brazil,Tokyo,Glow_Serum@,SKINCARE,   email,444.7,-534,??,0.0268,beaucoup,22-07-2024xx
usa,toronTo,PureClean To   ner,skincare,tiktok,budget non communique,-4120,??,"0,0737",-35,2023-07-17
France,NEwyork,pureclean_toner,furniture,face   book,$4976.57,-4244,??,"0,2191",0,01/04/25
BRAzil,berlin?,PureClean Toner,furniture,tiktok,16123.76,-194,,7.7%,beaucoup,2024-12-28
Usaa,Toky   o ,Glow_Serum,Skincare,tiKtOk,budget non communique,-4419,??,"0,0461",-18,Apr 12 2025
Germny,NEW_YORK,pureclean toner#,,GoogleAd   s,$13061.03,98910,12007,??,0,02-04-2024xx
BRAZIL #,New_York!!,P.C. Toner,beauty,Instagram,12120.58,-1475,,??,beaucoup,24/06/25
Brasil,###,PUrEcLEan tONeR,,???,15604.05,6324,,"0,1102",-44,20/11/23
brazil,unknown city%,Pure_Clean_Toner@,furniture,??!!,18774.64 €,232294,17709,,518826,17-12-2023xx
Espa√   ±a,TOK   YO,GlowSe   rum,Skincare,facebook,21999.2,466421,??,"0,2718",94579,
  Ital   y,Rome,HydraCream,electronics,tiktok,24470.53 €,N/A,??,10.0%,169517,2023-11-08
Spain,Berl   in,hyDRAcr3AM,skincare,fa   cebook,budget non communique,N/A,??,0.1308,526202,Feb 3 2023
USA!!,Berlin%,HYDRA_CREAM,electronics,TikTo   k,budget non communique,-4033,17269,??,437,
UsAa,saO pAUlO,Hydra_Cream,electronics,INSTAGRAM,budget non communique,487991,17899,6.8%,346790,21/13/2099
fr   ance,B3rlin,glowserum$,skincare,Instag   ram,,-4572,??,28.9%,0,2024-11-04
France   ,Madrid,GLOW S   ERUM,,instagram,$3118.73,91420,12863,,-41,Dec 19 2024
USA@,S√£o_Paulo,pureclean_toner,beauty,insta,15364.71 €,-1974,,,0,05-04-2023xx
Jappan,R0me@,pureclean toner%,skincare,tIkTOk,23230.18,,14694,"0,1727",-1,Nov 7 2023
cAnaDa,T0kyo,hydracream,Beauty ,TikTok,,-1024,??,13.1%,-24,24/05/25
FRANCE,R   0me,Pure_   Clean_Toner,,FB,22083.69 €,N/A,17047,??,-31,37/4/2099
Espa√±a,unknown city$,Glow_   Serum,SKINCARE,billboard,budget non communique,72315,10198,"0,3044",93,02-07-2023xx
ITALY,tor   onto,pureclean toner!!,skincare,IN   STAGRAM,16662.51,10547,14366,"0,2579",608844,Jan 1 2025
France@,Madrid%,HYDRA CREAM?,beauty,Instag   ram,$13366.15,-2826,10005,0.094,85335,06/10/23
ITALY,###,PureCleanToner?,,Emai   l,15262.38 €,-897,10538,??,-15,04/01/25
