country,city,product_name,product_category,campaign_channel,budget_spent,clicks,conversion_rate,units_sold,campaign_date
france,paris,hydra_cream,beauty,email,12669.726343178621,12199.0,6.078482972136223,308.0,2023-01-16
canada,toronto,hydra_cream,skin_care,google_ads,12669.726343178621,3917106.0,8.5,602.0,2023-01-16
france,paris,hydra_cream,electronics,facebook,15839.78,959076.9351851852,0.2712,0.0,2023-01-16
france,paris,glow_serum,electronics,email,12669.726343178621,12166.0,6.078482972136223,899657.0,2023-01-16
brazil,sao_paulo,hydra_cream,skin_care,tiktok,24832.99,1751.0,0.1469,2.0,2023-01-16
brazil,sao_paulo,pure_clean_toner,skin_care,tiktok,10086.38,19669.0,6.078482972136223,139584.0,2023-01-16
japan,tokyo,pure_clean_toner,furniture,instagram,5704.48,959076.9351851852,6.078482972136223,869621.0,2025-08-14
germany,berlin,pure_clean_toner,skin_care,tiktok,4874.03,13633.0,0.2194,126099.48148148147,2025-08-14
france,paris,pure_clean_toner,skin_care,instagram,12669.726343178621,4225424.0,0.3441,126099.48148148147,2025-05-24
spain,paris,glow_serum,skin_care,google_ads,205.31,8525.0,0.3299,655301.0,2025-05-24
france,paris,pure_clean_toner,skin_care,tiktok,12669.726343178621,7152.0,6.078482972136223,0.0,2025-05-24
germany,berlin,glow_serum,skin_care,facebook,6638.84,959076.9351851852,5.5,126099.48148148147,2025-05-24
france,paris,glow_serum,skin_care,tiktok,11070.74,2900313.0,30.4,262191.0,2025-05-24
germany,berlin,glow_serum,skin_care,instagram,19197.66,14687.0,0.1257,414559.0,2025-05-24
germany,berlin,pure_clean_toner,furniture,instagram,4832.02,2861817.0,0.2854,0.0,2025-05-24
spain,madrid,pure_clean_toner,skin_care,instagram,11209.61,959076.9351851852,6.078482972136223,126099.48148148147,2025-05-24
japan,tokyo,glow_serum,electronics,google_ads,12669.726343178621,959076.9351851852,6.078482972136223,43.0,2025-07-10
canada,toronto,pure_clean_toner,skin_care,tiktok,12669.726343178621,14738.0,6.078482972136223,7.0,2025-07-10
usa,new_york,glow_serum,skin_care,email,12669.726343178621,1622104.0,0.0936,14.0,2025-07-10
spain,madrid,hydra_cream,electronics,instagram,21095.64,959076.9351851852,6.078482972136223,126099.48148148147,2025-07-10
germany,berlin,glow_serum,skin_care,email,13883.34,959076.9351851852,0.1045,34.0,2025-07-10
usa,new_york,glow_serum,skin_care,facebook,12669.726343178621,3189.0,0.3002,126099.48148148147,2025-07-10
spain,madrid,glow_serum,skin_care,billboard,24638.49,959076.9351851852,0.1017,0.0,2025-07-10
france,paris,hydra_cream,electronics,billboard,10781.49,1560761.0,10.9,126099.48148148147,2025-07-10
germany,berlin,pure_clean_toner,skin_care,instagram,12669.726343178621,959076.9351851852,0.1339,126099.48148148147,2025-07-10
germany,berlin,pure_clean_toner,skin_care,instagram,9559.05,959076.9351851852,0.0063,580001.0,2025-07-10
italy,rome,hydra_cream,beauty,facebook,12669.726343178621,2054048.0,6.078482972136223,0.0,2025-07-10
japan,tokyo,pure_clean_toner,skin_care,tiktok,12669.726343178621,959076.9351851852,0.1062,39.0,2025-07-10
usa,new_york,glow_serum,electronics,email,14342.82,959076.9351851852,0.1833,97.0,2025-07-10
usa,paris,hydra_cream,beauty,facebook,5758.55,959076.9351851852,0.1589,697.0,2025-07-10
brazil,sao_paulo,hydra_cream,skin_care,instagram,9317.2,959076.9351851852,6.078482972136223,756.0,2023-11-18
japan,tokyo,pure_clean_toner,skin_care,facebook,21887.53,2623877.0,0.1103,126099.48148148147,2023-11-18
usa,new_york,glow_serum,skin_care,facebook,12669.726343178621,11765.0,20.3,0.0,2023-11-18
italy,rome,glow_serum,electronics,tiktok,8196.45,1369054.0,6.078482972136223,925332.0,2023-11-18
canada,toronto,hydra_cream,beauty,billboard,12669.726343178621,1347137.0,19.4,0.0,2025-04-16
germany,berlin,hydra_cream,skin_care,tiktok,17600.89,9485.0,0.2606,38.0,2025-04-16
japan,paris,glow_serum,electronics,instagram,10001.8,10575.0,6.078482972136223,126099.48148148147,2025-04-16
france,paris,glow_serum,beauty,tiktok,12814.12,1479780.0,0.1481,748.0,2025-04-16
spain,madrid,glow_serum,skin_care,google_ads,8015.27,959076.9351851852,23.4,50.0,2025-04-16
japan,tokyo,glow_serum,skin_care,instagram,12669.726343178621,2804.0,6.078482972136223,0.0,2025-04-16
japan,tokyo,glow_serum,skin_care,email,444.7,959076.9351851852,0.0268,126099.48148148147,2025-04-16
canada,toronto,pure_clean_toner,skin_care,tiktok,12669.726343178621,959076.9351851852,0.0737,35.0,2025-04-16
usa,new_york,pure_clean_toner,furniture,facebook,4976.57,959076.9351851852,0.2191,0.0,2025-04-16
germany,berlin,pure_clean_toner,furniture,tiktok,16123.76,959076.9351851852,7.7,126099.48148148147,2025-04-16
japan,tokyo,glow_serum,skin_care,tiktok,12669.726343178621,959076.9351851852,0.0461,18.0,2025-04-12
usa,new_york,pure_clean_toner,skin_care,google_ads,13061.03,12007.0,6.078482972136223,0.0,2025-04-12
usa,new_york,pure_clean_toner,beauty,instagram,12120.58,959076.9351851852,6.078482972136223,126099.48148148147,2025-04-12
brazil,paris,pure_clean_toner,skin_care,instagram,15604.05,959076.9351851852,0.1102,44.0,2025-04-12
brazil,paris,pure_clean_toner,furniture,instagram,18774.64,17709.0,6.078482972136223,518826.0,2025-04-12
japan,tokyo,glow_serum,skin_care,facebook,21999.2,959076.9351851852,0.2718,94579.0,2025-04-12
italy,rome,hydra_cream,electronics,tiktok,24470.53,959076.9351851852,10.0,169517.0,2025-04-12
germany,berlin,hydra_cream,skin_care,facebook,12669.726343178621,959076.9351851852,0.1308,526202.0,2023-02-03
germany,berlin,hydra_cream,electronics,tiktok,12669.726343178621,17269.0,6.078482972136223,437.0,2023-02-03
brazil,sao_paulo,hydra_cream,electronics,instagram,12669.726343178621,17899.0,6.8,346790.0,2023-02-03
germany,berlin,glow_serum,skin_care,instagram,12669.726343178621,959076.9351851852,28.9,0.0,2023-02-03
spain,madrid,glow_serum,skin_care,instagram,3118.73,12863.0,6.078482972136223,41.0,2024-12-19
brazil,sao_paulo,pure_clean_toner,beauty,instagram,15364.71,959076.9351851852,6.078482972136223,0.0,2024-12-19
italy,rome,pure_clean_toner,skin_care,tiktok,23230.18,14694.0,0.1727,1.0,2023-11-07
japan,tokyo,hydra_cream,beauty,tiktok,12669.726343178621,959076.9351851852,13.1,24.0,2023-11-07
italy,rome,pure_clean_toner,skin_care,facebook,22083.69,17047.0,6.078482972136223,31.0,2023-11-07
spain,paris,glow_serum,skin_care,billboard,12669.726343178621,10198.0,0.3044,93.0,2023-11-07
canada,toronto,pure_clean_toner,skin_care,instagram,16662.51,14366.0,0.2579,608844.0,2025-01-01
spain,madrid,hydra_cream,beauty,instagram,13366.15,10005.0,0.094,85335.0,2025-01-01
italy,paris,pure_clean_toner,skin_care,email,15262.38,10538.0,6.078482972136223,15.0,2025-01-01
canada,toronto,pure_clean_toner,skin_care,google_ads,6121.55,3398639.0,6.078482972136223,482916.0,2023-07-12
france,paris,pure_clean_toner,skin_care,facebook,9311.58,959076.9351851852,0.0923,86344.0,2023-07-12
germany,berlin,glow_serum,skin_care,google_ads,12669.726343178621,1548790.0,0.2923,0.0,2023-07-12
france,paris,pure_clean_toner,skin_care,billboard,12669.726343178621,13236.0,6.078482972136223,126099.48148148147,2023-07-12
brazil,sao_paulo,pure_clean_toner,skin_care,facebook,12669.726343178621,752.0,0.0836,0.0,2023-07-12
canada,toronto,hydra_cream,skin_care,facebook,8453.65,14198.0,0.1047,0.0,2024-09-04
spain,paris,hydra_cream,skin_care,facebook,16703.2,12021.0,0.0103,959062.0,2024-09-04
germany,berlin,pure_clean_toner,skin_care,billboard,1892.49,959076.9351851852,6.078482972136223,126099.48148148147,2024-09-04
spain,madrid,glow_serum,skin_care,instagram,12669.726343178621,4726.0,0.2548,638886.0,2024-09-04
japan,tokyo,pure_clean_toner,skin_care,instagram,3805.14,1514196.0,6.078482972136223,409.0,2024-09-04
spain,madrid,glow_serum,electronics,tiktok,4990.52,10509.0,0.1783,744336.0,2024-09-04
japan,tokyo,hydra_cream,beauty,tiktok,21819.98,959076.9351851852,0.0579,9.0,2023-08-21
brazil,sao_paulo,hydra_cream,electronics,instagram,7975.12,4618255.0,6.078482972136223,259650.0,2023-08-21
japan,tokyo,glow_serum,skin_care,tiktok,12669.726343178621,959076.9351851852,3.6,126099.48148148147,2023-08-21
japan,tokyo,glow_serum,electronics,email,12708.3,959076.9351851852,6.078482972136223,27.0,2023-08-21
germany,berlin,hydra_cream,beauty,google_ads,10560.39,13562.0,6.078482972136223,266290.0,2023-08-21
canada,toronto,glow_serum,beauty,billboard,18393.64,8032.0,0.2517,75.0,2023-08-21
italy,rome,pure_clean_toner,furniture,email,20917.09,959076.9351851852,0.2894,517.0,2023-08-21
japan,tokyo,glow_serum,skin_care,email,4005.81,959076.9351851852,6.078482972136223,991934.0,2023-08-21
canada,toronto,glow_serum,skin_care,tiktok,5888.11,959076.9351851852,14.1,0.0,2023-08-08
japan,tokyo,pure_clean_toner,furniture,tiktok,12669.726343178621,3523026.0,31.1,182717.0,2023-08-08
usa,new_york,hydra_cream,beauty,tiktok,16184.54,16442.0,11.7,126099.48148148147,2023-08-08
spain,madrid,glow_serum,beauty,google_ads,19181.0,17842.0,6.078482972136223,0.0,2023-08-08
japan,tokyo,hydra_cream,skin_care,email,512.51,959076.9351851852,20.5,0.0,2023-08-08
japan,tokyo,pure_clean_toner,furniture,tiktok,12669.726343178621,959076.9351851852,0.18,138.0,2023-08-08
spain,madrid,hydra_cream,skin_care,instagram,13510.16,959076.9351851852,6.078482972136223,426695.0,2023-08-08
canada,paris,glow_serum,skin_care,email,6435.91,4402944.0,23.6,126099.48148148147,2023-08-08
france,paris,glow_serum,skin_care,tiktok,6958.41,959076.9351851852,0.2231,40.0,2023-08-08
spain,madrid,glow_serum,skin_care,tiktok,12669.726343178621,959076.9351851852,6.078482972136223,46.0,2023-08-08
germany,berlin,pure_clean_toner,beauty,instagram,12669.726343178621,959076.9351851852,6.078482972136223,126099.48148148147,2023-08-08
france,paris,hydra_cream,skin_care,facebook,12669.726343178621,959076.9351851852,0.33,0.0,2023-08-08
italy,rome,glow_serum,skin_care,facebook,4908.93,7970.0,0.1653,20.0,2023-08-08
usa,new_york,glow_serum,skin_care,email,9033.15,9872.0,0.0859,38.0,2023-08-08
usa,new_york,pure_clean_toner,furniture,google_ads,23019.09,959076.9351851852,6.078482972136223,720.0,2025-04-08
germany,berlin,glow_serum,electronics,email,12669.726343178621,959076.9351851852,0.0319,126099.48148148147,2025-04-08
